127.0.0.1 - - [05/Sep/2020:14:20:08 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:09 +0700] "GET /spring-mvc/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:09 +0700] "GET /spring-mvc/trang-chu HTTP/1.1" 200 4352
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:10 +0700] "GET /spring-mvc/template/web/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:10 +0700] "GET /spring-mvc/template/web/css/small-business.css HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:10 +0700] "GET /spring-mvc/template/web/vendor/jquery/jquery.min.js HTTP/1.1" 200 88145
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:10 +0700] "GET /spring-mvc/template/web/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 78635
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:10 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:20 +0700] "GET /spring-mvc/quan-li/trang-chu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:29 +0700] "GET /spring-mvc/quan-ly/trang-chu HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/quan-tri/trang-chu HTTP/1.1" 200 7317
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/font-awesome/4.5.0/css/font-awesome.min.css HTTP/1.1" 200 27748
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/css/bootstrap.min.css HTTP/1.1" 200 111560
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/ace-extra.min.js HTTP/1.1" 200 7241
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery-ui.custom.min.js HTTP/1.1" 200 101986
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery.ui.touch-punch.min.js HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery.easypiechart.min.js HTTP/1.1" 200 3992
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/css/ace.min.css HTTP/1.1" 200 400194
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 35601
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery.flot.min.js HTTP/1.1" 200 36668
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery.flot.pie.min.js HTTP/1.1" 200 8048
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/ace-elements.min.js HTTP/1.1" 200 39715
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery.flot.resize.min.js HTTP/1.1" 200 1966
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery.sparkline.min.js HTTP/1.1" 200 42838
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/ace.min.js HTTP/1.1" 200 49985
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:56 +0700] "GET /spring-mvc/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 241694
0:0:0:0:0:0:0:1 - - [05/Sep/2020:14:20:59 +0700] "GET /spring-mvc/quan-tri/bai-viet/danh-sach HTTP/1.1" 200 8717
